Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé et produits","2013","2013","Milliers de tonnes","5992","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5123","Pertes","2511","Blé et produits","2013","2013","Milliers de tonnes","775","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5142","Nourriture","2511","Blé et produits","2013","2013","Milliers de tonnes","4895","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","461","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5123","Pertes","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","24","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","422","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5301","Disponibilité intérieure","2513","Orge et produits","2013","2013","Milliers de tonnes","524","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5521","Aliments pour animaux","2513","Orge et produits","2013","2013","Milliers de tonnes","360","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5123","Pertes","2513","Orge et produits","2013","2013","Milliers de tonnes","52","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5142","Nourriture","2513","Orge et produits","2013","2013","Milliers de tonnes","89","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5301","Disponibilité intérieure","2514","Maïs et produits","2013","2013","Milliers de tonnes","313","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5521","Aliments pour animaux","2514","Maïs et produits","2013","2013","Milliers de tonnes","200","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5123","Pertes","2514","Maïs et produits","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5142","Nourriture","2514","Maïs et produits","2013","2013","Milliers de tonnes","76","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5301","Disponibilité intérieure","2517","Millet et produits","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5123","Pertes","2517","Millet et produits","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5142","Nourriture","2517","Millet et produits","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","2","Afghanistan","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2511","Blé et produits","2013","2013","Milliers de tonnes","3316","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5521","Aliments pour animaux","2511","Blé et produits","2013","2013","Milliers de tonnes","37","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5123","Pertes","2511","Blé et produits","2013","2013","Milliers de tonnes","74","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2511","Blé et produits","2013","2013","Milliers de tonnes","3174","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","920","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5123","Pertes","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","919","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2513","Orge et produits","2013","2013","Milliers de tonnes","509","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5521","Aliments pour animaux","2513","Orge et produits","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5123","Pertes","2513","Orge et produits","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2513","Orge et produits","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2514","Maïs et produits","2013","2013","Milliers de tonnes","10480","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5521","Aliments pour animaux","2514","Maïs et produits","2013","2013","Milliers de tonnes","4715","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5123","Pertes","2514","Maïs et produits","2013","2013","Milliers de tonnes","405","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2514","Maïs et produits","2013","2013","Milliers de tonnes","5283","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2515","Seigle et produits","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5521","Aliments pour animaux","2515","Seigle et produits","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5123","Pertes","2515","Seigle et produits","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2515","Seigle et produits","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","49","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5521","Aliments pour animaux","2516","Avoine","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5123","Pertes","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","40","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5301","Disponibilité intérieure","2517","Millet et produits","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5521","Aliments pour animaux","2517","Millet et produits","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBSH","Bilans Alimentaires (-2013, ancienne méthodologie et population)","202","Afrique du Sud","5142","Nourriture","2517","Millet et produits","2013","2013","Milliers de tonnes","5","S","Données standardisées"
